Datetime,Output,AmbientHumidity,AmbientTemperature,M1_RawMaterial_1,M1_RawMaterial_2,M1_RawMaterial_3,M1_RawMaterial_4,M1_RawMaterialFeeder,M1_Zone1_Temperature,M1_Zone2_Temperature,M1_MotorAmperage,M1_MotorRPM,M1_MaterialPressure,M1_MaterialTemperature,M1_ExitZoneTemperature,M2_RawMaterial_1,M2_RawMaterial_2,M2_RawMaterial_3,M2_RawMaterial_4,M2_RawMaterialFeeder,M2_Zone1_Temperature,M2_Zone2_Temperature,M2_MotorAmperage,M2_MotorRPM,M2_MaterialPressure,M2_MaterialTemperature,M2_ExitZoneTemperature,M3_RawMaterial_1,M3_RawMaterial_2,M3_RawMaterial_3,M3_RawMaterial_4,M3_RawMaterialFeeder,M3_Zone1_Temperature,M3_Zone2_Temperature,M3_MotorAmperage,M3_MotorRPM,M3_MaterialPressure,M3_MaterialTemperature,M3_ExitZoneTemperature,Stage_1_Temperature1,Stage_1_Temperature2,Stage_1_Temperature3
2019-03-06 10:52:33,2.69,17.24,23.53,11.54,200,963,247,1241.26,72,72.3,48.03,10.48,436.76,76.3,75.1,12.59,236,601.11,257,200.75,69.37,69.06,73.25,13.89,246.68,68.8,60.1,9.02,186,421.16,200,203.95,78.2,78.4,337.4,13.5,263.71,65.3,65,99.1,108.2,80
2019-03-06 10:52:34,2.7,17.24,23.53,11.54,200,963,247,1246.09,72,72.3,48.03,10.48,436.77,76.3,75.1,12.59,236,601.11,257,220.16,69.35,69.05,73.19,13.89,246.02,69,60,9.02,186,421.16,200,213.36,78.1,78.4,341.85,13.59,262.88,65.3,65,99.1,109.2,80
2019-03-06 10:52:35,2.7,17.24,23.53,11.54,200,963,247,1246.29,72,72.3,48.16,10.48,425.46,76.3,75.1,12.59,236,601.11,257,216.84,69.37,69.07,73.19,13.85,247.18,68.9,60,9.02,186,421.16,200,225.25,78.1,78.5,338.71,14,262.63,65.3,65,99.6,111,80
2019-03-06 10:52:36,2.7,17.24,23.53,11.54,200,963,247,1247.59,72,72.3,48.57,10.48,437.01,76.3,75.1,12.59,236,601.11,257,208.61,69.38,69.08,72.81,13.9,249.92,69.1,59.9,9.02,186,421.16,200,213.99,78.1,78.5,339.15,13.67,262.22,65.4,65,99.6,109.2,80
2019-03-06 10:52:37,2.72,17.24,23.53,11.54,200,963,247,1252.83,72.1,72.4,48.57,10.48,425.18,76.4,75.1,12.59,236,601.11,257,212.31,69.4,69.07,73,13.89,250.58,68.9,59.9,9.02,186,421.16,200,200.86,78,78.5,337.05,13.72,262.17,65.4,65,99.6,109.8,80
2019-03-06 10:52:38,2.72,17.24,23.53,11.54,200,963,247,1262.73,72.1,72.4,48.7,10.48,435.23,76.4,75.1,12.59,236,601.11,257,224.17,69.27,69.06,73.19,13.87,247.33,69.2,59.8,9.02,186,421.16,200,208.78,78,78.5,350.49,13.76,261.39,65.4,65,99.6,109.9,80
2019-03-06 10:52:39,2.65,17.24,23.53,11.54,200,963,247,1306.38,72.1,72.4,48.7,10.45,435.25,76.4,75,12.59,236,601.11,257,210.46,69.27,69.06,73.19,13.87,245.12,69.2,59.8,9.02,186,421.16,200,223.1,77.9,78.5,345.76,13.81,261.03,65.4,65,99.6,109.9,80
2019-03-06 10:52:40,2.65,17.24,23.53,11.54,200,963,247,1296.13,72.1,72.4,49.78,10.48,439.68,76.4,75,12.59,236,601.11,257,210.21,69.25,68.94,73.19,13.93,248.85,69,59.8,9.02,186,421.16,200,220.17,77.9,78.5,351.83,13.49,260.61,65.4,65,99.6,109,80
2019-03-06 10:52:41,1.77,17.24,23.53,11.54,200,963,247,1251.11,72.1,72.4,49.37,10.48,422.66,76.5,75,12.59,236,601.11,257,201.35,69.25,69.04,73.06,13.93,249.63,69.1,59.9,9.02,186,421.16,200,210.96,77.9,78.5,332.66,13.59,260.59,65.4,65,99.3,109.9,80
2019-03-06 10:52:42,1.77,17.24,23.53,11.54,200,963,247,1202.16,72.1,72.4,49.64,10.52,431.83,76.5,75,12.59,236,601.11,257,211.53,69.25,69.04,73.06,13.92,244.42,69.1,59.9,9.02,186,421.16,200,220.74,77.8,78.5,339.5,13.6,260.58,65.4,65,99.3,109.9,80
2019-03-06 10:52:43,6.91,17.24,23.53,11.54,200,963,247,1202.57,72.1,72.4,49.37,10.48,430.5,76.5,75.1,12.59,236,601.11,257,225.95,69.26,69.06,73,13.89,242.33,69.1,59.9,9.02,186,421.16,200,222.18,77.8,78.5,354.74,13.99,259.89,65.4,65,99.3,110.1,80
2019-03-06 10:52:44,6.91,17.24,23.53,11.54,200,963,247,1248.62,72.1,72.5,49.51,10.48,437.53,76.5,75.1,12.59,236,601.11,257,223.89,69.18,69.08,73.25,13.91,247.47,69.2,60,9.02,186,421.16,200,223.85,77.8,78.5,348.07,13.54,260.32,65.4,65,100.1,109.5,80
2019-03-06 10:52:45,2.68,17.24,23.53,11.54,200,963,247,1252.53,72.1,72.5,49.51,10.48,434.45,76.6,75.1,12.59,236,601.11,257,215.14,69.16,69.06,72.81,13.86,248.72,69.4,60,9.02,186,421.16,200,213.98,77.7,78.5,346.5,13.6,259.82,65.4,65,100.1,109.9,80
2019-03-06 10:52:46,2.68,17.24,23.53,11.54,200,963,247,1246.91,72.1,72.5,49.91,10.52,442.15,76.6,75.1,12.59,236,601.11,257,214.8,69.16,69.06,72.81,13.87,243.2,69.4,60,9.02,186,421.16,200,217.4,77.7,78.5,335.43,13.4,259.22,65.4,65,100.1,109.9,80
2019-03-06 10:52:47,2.7,17.24,23.53,11.54,200,963,247,1119.22,72.1,72.5,49.64,10.48,431.37,76.6,75.1,12.59,236,601.11,257,224.29,69.16,69.2,73.06,13.92,241.73,69.2,60.1,9.02,186,421.16,200,224.23,77.7,78.5,342.55,13.7,259.08,65.5,65,100.3,109.7,80
2019-03-06 10:52:48,2.7,17.24,23.53,11.54,200,963,247,1103.32,72.1,72.5,50.18,10.52,423.65,76.6,75.1,12.59,236,601.11,257,218.9,69.09,69.25,73.13,13.92,245.47,69.5,60.1,9.02,186,421.16,200,220.64,77.7,78.6,340.95,13.89,258.93,65.5,65,100.3,113.4,80
2019-03-06 10:52:49,2.66,17.24,23.53,11.54,200,963,247,1179.7,72.1,72.5,49.64,10.52,433.64,76.7,75.1,12.59,236,601.11,257,213.82,69.07,69.41,72.94,13.91,247.28,69.3,60.1,9.02,186,421.16,200,209.89,77.7,78.6,345.78,13.68,258.8,65.5,65,100.3,110.5,80
2019-03-06 10:52:50,2.66,17.24,23.53,11.54,200,963,247,1222.09,72.1,72.5,49.24,10.52,436.02,76.7,75.1,12.59,236,601.11,257,203.5,69.09,69.43,72.88,13.89,246.45,69.5,60.2,9.02,186,421.16,200,189.03,77.7,78.6,342.48,13.73,258.25,65.5,65,102.7,110.3,80
2019-03-06 10:52:51,2.7,17.24,23.53,11.54,200,963,247,1241.96,72.1,72.5,48.97,10.48,435.75,76.7,75.1,12.59,236,601.11,257,220.19,69.09,69.59,73.19,13.91,245.15,69.4,60.2,9.02,186,421.16,200,224.36,77.6,78.6,355.21,13.72,258.28,65.5,65,102.7,109.9,80
2019-03-06 10:52:52,2.7,17.24,23.53,11.54,200,963,247,1242.83,72.1,72.5,49.24,10.48,422.7,76.7,75.1,12.59,236,601.11,257,220.45,69.09,69.62,72.88,13.92,243.52,69.6,60.2,9.02,186,421.16,200,224.91,77.6,78.6,336.28,13.86,258.26,65.5,65,102.7,110.1,80
