datetime,quantity,temp,feels_like,pressure,humidity,wind_speed,wind_deg,rain,snow,clouds,is_public_holiday,is_school_holiday,is_holiday_period
2019-01-01 00:00:00,8729,7.5,3.91,1033,94,4,250,0,0,100,1,1,1
2019-01-01 01:00:00,8231,7.29,4.46,1033,97,3,240,0,0,100,1,1,1
2019-01-01 02:00:00,7947,7.14,4.31,1033,98,3,270,0,0,97,1,1,1
2019-01-01 03:00:00,7637,7.03,3.91,1032,90,3,260,0,0,99,1,1,1
2019-01-01 04:00:00,7641,7.05,3.87,1032,88,3,250,0,0,90,1,1,1
2019-01-01 05:00:00,7589,7.05,3.83,1031,87,3,250,0,0,85,1,1,1
2019-01-01 06:00:00,7720,7.08,3.87,1031,87,3,260,0,0,76,1,1,1
2019-01-01 07:00:00,7697,7.05,3.13,1031,87,4,250,0,0,66,1,1,1
2019-01-01 08:00:00,7775,7.13,3.96,1031,88,3,250,0,0,81,1,1,1
2019-01-01 09:00:00,8035,7.29,4.15,1031,88,3,250,0,0,100,1,1,1
2019-01-01 10:00:00,8524,7.28,3.51,1031,90,4,260,0,0,100,1,1,1
2019-01-01 11:00:00,8633,7.44,4.47,1031,92,3,260,0,0,100,1,1,1
2019-01-01 12:00:00,8833,7.54,3.96,1030,94,4,260,0,0,100,1,1,1
2019-01-01 13:00:00,8786,7.81,5.1,1030,97,3,270,0,0,100,1,1,1
2019-01-01 14:00:00,8724,8.07,4.82,1030,100,4,290,0,0,100,1,1,1
2019-01-01 15:00:00,8485,8.1,5.56,1031,100,3,300,0,0,99,1,1,1
2019-01-01 16:00:00,9092,7.8,4.35,1031,96,4,330,0.12,0,76,1,1,1
2019-01-01 17:00:00,9396,7.48,4.52,1032,92,3,320,0,0,78,1,1,1
2019-01-01 18:00:00,9041,6.85,2.93,1032,88,4,310,0,0,64,1,1,1
2019-01-01 19:00:00,8928,6.32,1.37,1033,81,5,320,0,0,55,1,1,1
2019-01-01 20:00:00,8738,5.93,1.71,1034,84,4,340,0,0,53,1,1,1
2019-01-01 21:00:00,8881,5.65,1.32,1034,82,4,320,0,0,56,1,1,1
2019-01-01 22:00:00,9282,5.35,0.97,1034,82,4,330,0,0,75,1,1,1
2019-01-01 23:00:00,8834,5.13,0.62,1034,79,4,330,0,0,56,1,1,1
2019-01-02 00:00:00,8366,5.2,0.59,1035,75,4,330,0,0,67,0,1,1
2019-01-02 01:00:00,7954,5.15,1.17,1035,73,3,320,0,0,70,0,1,1
2019-01-02 02:00:00,7773,5.06,0.37,1036,73,4,330,0,0,70,0,1,1
2019-01-02 03:00:00,7667,4.7,0.68,1036,74,3,320,0,0,74,0,1,1
2019-01-02 04:00:00,7991,4.46,0.46,1036,76,3,320,0,0,82,0,1,1
2019-01-02 05:00:00,8596,4.42,0.42,1036,76,3,320,0,0,70,0,1,1
2019-01-02 06:00:00,9532,4.32,0.17,1037,71,3,330,0,0,58,0,1,1
2019-01-02 07:00:00,10023,4.57,0.45,1037,71,3,320,0,0,71,0,1,1
2019-01-02 08:00:00,10385,4.56,0.52,1038,74,3,320,0,0,70,0,1,1
2019-01-02 09:00:00,10612,5,1.03,1038,74,3,330,0,0,57,0,1,1
2019-01-02 10:00:00,11056,5.3,1.4,1039,75,3,320,0,0,84,0,1,1
2019-01-02 11:00:00,11175,5.92,2.06,1038,73,3,330,0,0,62,0,1,1
2019-01-02 12:00:00,11265,6.09,1.52,1038,72,4,320,0,0,36,0,1,1
2019-01-02 13:00:00,11187,6.11,1.45,1038,69,4,330,0,0,36,0,1,1
2019-01-02 14:00:00,10903,5.9,2.03,1038,73,3,340,0,0,25,0,1,1
2019-01-02 15:00:00,10985,5.8,1.07,1039,68,4,340,0,0,26,0,1,1
2019-01-02 16:00:00,11663,5.47,1.57,1039,74,3,320,0,0,35,0,1,1
2019-01-02 17:00:00,12018,5.2,0.53,1039,73,4,340,0,0,6,0,1,1
2019-01-02 18:00:00,11729,4.73,0.77,1039,76,3,330,0,0,1,0,1,1
2019-01-02 19:00:00,11175,4.7,1.5,1040,78,2,320,0,0,0,0,1,1
2019-01-02 20:00:00,10628,4.6,0.6,1040,75,3,340,0,0,1,0,1,1
2019-01-02 21:00:00,10480,4.56,1.28,1040,76,2,340,0,0,12,0,1,1
